RWwgZ3JhZGllbnRlIGRlc2NlbmRlbnRl,32,3.687,0.40625,0.53125,0.0625,0.0,0.0,50,119,92.15625,300.631836,0.21875,0.15625,0,0.9375,17,0.53125,3
Clguba rf ha yrathnwr ireflgvy cnen pvrapvn qr qngbf,52,4.019977,0.019231,0.826923,0.0,0.153846,0.0,32,121,95.846154,817.630178,0.153846,0.115385,0,0.846154,20,0.384615,2
Las épocas de entrenamiento determinan cuánto aprende el modelo,63,3.824902,0.015873,0.857143,0.0,0.126984,0.0,32,233,100.603175,1194.937768,0.15873,0.126984,0,0.873016,18,0.285714,0
RY NCERAQVMNWR NHGBZLGVPB ERDHVRER QNGBF QR PNYVQNQ Ry qrfneebyyb qr fbsgjner,77,4.479476,0.597403,0.272727,0.0,0.12987,0.0,32,121,80.116883,567.817507,0.12987,0.103896,0,0.87013,29,0.376623,2
Yn ragebcxn zvqr ry qrfbeqra,28,3.651479,0.035714,0.821429,0.0,0.142857,0.0,32,122,97.25,777.973214,0.178571,0.142857,0,0.857143,15,0.535714,2
ZWwgbWFjaGluZSBsZWFybmluZyBlcyB1bmEgcmFtYSBkZSBsYSBpbnRlbGlnZW5jaWEgYXJ0aWZpY2lhbA==,84,4.73202,0.452381,0.47619,0.047619,0.0,0.02381,48,121,91.035714,352.010629,0.083333,0.071429,1,0.928571,33,0.392857,3
LA NORMALIZACIÓN DE VARIABLES ACELERA LA CONVERGENCIA,53,3.706062,0.886792,0.0,0.0,0.113208,0.0,32,211,71.075472,587.013172,0.169811,0.113208,0,0.886792,17,0.320755,0
fba ztgevpnf pbzcyrzragnevnf qr rinyhnpvda,42,3.978411,0.0,0.904762,0.0,0.095238,0.0,32,122,101.666667,569.888889,0.119048,0.095238,0,0.904762,18,0.428571,2
bWVqb3JhIGVsIHJlbmRpbWllbnRvIGRlbCBtb2RlbG8gTE9TIERBVE9TIERFU0JBTEFOQ0VBRE9TIEFGRUNU,84,4.566126,0.642857,0.261905,0.095238,0.0,0.0,48,118,81.845238,290.797477,0.095238,0.095238,0,0.904762,32,0.380952,3
la información sensible,23,3.675311,0.0,0.913043,0.0,0.086957,0.0,32,243,105.521739,1320.68431,0.130435,0.130435,0,0.913043,14,0.608696,0
Qx sdmpuqzfq pqeoqzpqzfq,24,3.375815,0.041667,0.875,0.0,0.083333,0.0,32,122,104.25,549.9375,0.25,0.125,0,0.916667,13,0.541667,1
TG9zIMOhcmJvbGVzIGRlIGRlY2lzacOzbiBzb24gbW9kZWxvcyBpbnRlcnByZXRhYmxlcyB5IGNsYXJvcw==,84,4.913591,0.404762,0.5,0.071429,0.0,0.02381,50,122,91.702381,422.32809,0.071429,0.059524,1,0.904762,36,0.428571,3
RY LERN ONWB YN PHEIN ERFHZR YN PNCNPVQNQ QVFPEVZVANGVIN QRY ZBQRYB,67,3.85285,0.850746,0.0,0.0,0.149254,0.0,32,90,71.80597,321.410114,0.149254,0.149254,0,0.850746,19,0.283582,2
YNF GENAFSBEZNPVBARF QR SBHEVRE NANYVMNA FRBNYRF CREVDQVPNF,59,3.840211,0.898305,0.0,0.0,0.101695,0.0,32,90,71.644068,231.51738,0.135593,0.101695,0,0.898305,18,0.305085,2
SZ JOZCF T1 POZOBQSO DFSQWGWEB M GSBGWPWZWROR SB IB GCZC BLASFC gyapczc rs qizhifo m hfopoxc,92,4.667948,0.565217,0.26087,0.01087,0.163043,0.0,32,122,77.706522,655.055175,0.163043,0.065217,0,0.826087,36,0.391304,1
